"","variable_name","domain","family","subfamily","period","location","period_postnatal","description","var_type","transformation","labels","labelsshort"
"h_abs_ratio_preg_Log","h_abs_ratio_preg_Log","Outdoor exposures","Air Pollution","PMAbsorbance","Pregnancy","Home",NA,"abs value (extrapolated back in time using ratio method)duringpregnancy","numeric","Natural Logarithm","PMabs","PMabs"
"h_no2_ratio_preg_Log","h_no2_ratio_preg_Log","Outdoor exposures","Air Pollution","NO2","Pregnancy","Home",NA,"no2 value (extrapolated back in time using ratio method)during pregnancy","numeric","Natural Logarithm","NO2","NO2"
"h_pm10_ratio_preg_None","h_pm10_ratio_preg_None","Outdoor exposures","Air Pollution","PM10","Pregnancy","Home",NA,"pm10 value (extrapolated back in time using ratio method)duringpregnancy","numeric","None","PM10","PM10"
"h_pm25_ratio_preg_None","h_pm25_ratio_preg_None","Outdoor exposures","Air Pollution","PM2.5","Pregnancy","Home",NA,"pm25 value (extrapolated back in time using ratio method)duringpregnancy","numeric","None","PM2.5","PM2.5"
"e3_alcpreg_yn_None","e3_alcpreg_yn_None","Lifestyles","Lifestyle","Prenatal Alcohol","Pregnancy",NA,NA,"alcohol during pregnancy yes/no (0=none or <1/m for KANC)","factor","None","Alcohol","Alcohol"
"h_cereal_preg_Ter","h_cereal_preg_Ter","Lifestyles","Lifestyle","Diet","Pregnancy",NA,NA,"cereal comsumption during pregnancy (times/week)","factor","Tertiles","Cereals","Cereals"
"h_dairy_preg_Ter","h_dairy_preg_Ter","Lifestyles","Lifestyle","Diet","Pregnancy",NA,NA,"dairy comsumption during pregnancy (times/week)","factor","Tertiles","Dairy","Dairy"
"h_fastfood_preg_Ter","h_fastfood_preg_Ter","Lifestyles","Lifestyle","Diet","Pregnancy",NA,NA,"fast food comsumption during pregnancy (times/week)","factor","Tertiles","Fastfood","Fastfood"
"h_fish_preg_Ter","h_fish_preg_Ter","Lifestyles","Lifestyle","Diet","Pregnancy",NA,NA,"fish comsumption during pregnancy (times/week)","factor","Tertiles","Fish","Fish"
"h_folic_t1_None","h_folic_t1_None","Lifestyles","Lifestyle","Folic acid consumption","Pregnancy",NA,NA,"folic acid supplementation during pregnancy","factor","None","Folic acid","Folic acid"
"h_fruit_preg_Ter","h_fruit_preg_Ter","Lifestyles","Lifestyle","Diet","Pregnancy",NA,NA,"fruit comsumption during pregnancy (times/week)","factor","Tertiles","Fruits","Fruits"
"h_legume_preg_Ter","h_legume_preg_Ter","Lifestyles","Lifestyle","Diet","Pregnancy",NA,NA,"legume comsumption during pregnancy (times/week)","factor","Tertiles","Legumes","Legumes"
"h_meat_preg_Ter","h_meat_preg_Ter","Lifestyles","Lifestyle","Diet","Pregnancy",NA,NA,"meat comsumption during pregnancy (times/week)","factor","Tertiles","Meat","Meat"
"h_pamod_t3_None","h_pamod_t3_None","Lifestyles","Lifestyle","Physical activity","Pregnancy",NA,NA,"Walking and/or cycling acitivity during pregnancy (frequency)","factor","None","PAmoderate","PAModp"
"h_pavig_t3_None","h_pavig_t3_None","Lifestyles","Lifestyle","Physical activity","Pregnancy",NA,NA,"Exercise or sport acitivity during pregnancy (frequency)","factor","None","PAvigorous","PAVig"
"h_veg_preg_Ter","h_veg_preg_Ter","Lifestyles","Lifestyle","Diet","Pregnancy",NA,NA,"vegetables comsumption during pregnancy (times/week)","factor","Tertiles","Vegetables","Vegetables"
"hs_as_m_Log2","hs_as_m_Log2","Chemicals","Metals","As","Pregnancy",NA,NA,"Arsenic (As) in mother","numeric","Logarithm base 2","As","As"
"hs_cd_m_Log2","hs_cd_m_Log2","Chemicals","Metals","Cd","Pregnancy",NA,NA,"Cadmium (Cd) in mother","numeric","Logarithm base 2","Cd","Cd"
"hs_co_m_Log2","hs_co_m_Log2","Chemicals","Metals","Co","Pregnancy",NA,NA,"Cobalt (Co) in mother","numeric","Logarithm base 2","Co","Co"
"hs_cs_m_Log2","hs_cs_m_Log2","Chemicals","Metals","Cs","Pregnancy",NA,NA,"Caesium (Cs) in mother","numeric","Logarithm base 2","Cs","Cs"
"hs_cu_m_Log2","hs_cu_m_Log2","Chemicals","Metals","Cu","Pregnancy",NA,NA,"Copper (Cu) in mother","numeric","Logarithm base 2","Cu","Cu"
"hs_hg_m_Log2","hs_hg_m_Log2","Chemicals","Metals","Hg","Pregnancy",NA,NA,"Mercury (Hg) in mother","numeric","Logarithm base 2","Hg","Hg"
"hs_mn_m_Log2","hs_mn_m_Log2","Chemicals","Metals","Mn","Pregnancy",NA,NA,"Manganese (Mn) in mother","numeric","Logarithm base 2","Mn","Mn"
"hs_mo_m_Log2","hs_mo_m_Log2","Chemicals","Metals","Mo","Pregnancy",NA,NA,"Molybdenum (Mo) in mother","numeric","Logarithm base 2","Mo","Mo"
"hs_pb_m_Log2","hs_pb_m_Log2","Chemicals","Metals","Pb ","Pregnancy",NA,NA,"Lead (Pb) in mother","numeric","Logarithm base 2","Pb","Pb"
"hs_tl_mdich_None","hs_tl_mdich_None","Chemicals","Metals","Tl","Pregnancy",NA,NA,"Dichotomous variable of thallium (Tl) in mother","factor","None","Tl","Tl"
"h_humidity_preg_None","h_humidity_preg_None","Outdoor exposures","Meteorological","Humidity","Pregnancy","Home",NA,"Humidity average during pregnancy","numeric","None","Hum.","Hum"
"h_pressure_preg_None","h_pressure_preg_None","Outdoor exposures","Meteorological","Pressure","Pregnancy","Home",NA,"Pressure average during pregnancy","numeric","None","Pres.","Pres"
"h_temperature_preg_None","h_temperature_preg_None","Outdoor exposures","Meteorological","Temperature","Pregnancy","Home",NA,"Temperature average during pregnancy","numeric","None","T","T"
"hs_dde_madj_Log2","hs_dde_madj_Log2","Chemicals","Organochlorines","DDE","Pregnancy",NA,NA,"Dichlorodiphenyldichloroethylene (DDE) in mother adjusted for lipids","numeric","Logarithm base 2","DDE","DDE"
"hs_ddt_madj_Log2","hs_ddt_madj_Log2","Chemicals","Organochlorines","DDT","Pregnancy",NA,NA,"Dichlorodiphenyltrichloroethane (DDT) in mother adjusted for lipids","numeric","Logarithm base 2","DDT","DDT"
"hs_hcb_madj_Log2","hs_hcb_madj_Log2","Chemicals","Organochlorines","HCB","Pregnancy",NA,NA,"Hexachlorobenzene (HCB) in mother adjusted for lipids","numeric","Logarithm base 2","HCB","HCB"
